Job Title,Company Name,Key Skills,Location,Job Description,More Info
human resource,"HR Empower Consultancy
     (More Jobs)","HR policies  ,  Excellent communication  ,  problem-solving   ,  HRIS   ,  HR software applications  ,  reporting skills  ,  time management skills","Srinagar,  Thrissur,  Ratlam,  Thane,  Ferozepur","Job Description:
HR Executive Job DescriptionImplement and manage HR policies and procedures in line with the organization's goals and objectives.Handle employee relations issues ,  including ... More Details",https://www.timesjobs.com/job-detail/human-resource-exective-hr-empower-consultancy-srinagar-thrissur-ratlam-thane-ferozepur-0-to-1-yrs-jobid-iOOreQUgRJpzpSvf__PLUS__uAgZw==&source=srp
Human Resources,"PRESSTONIC ENGINEERING PRIVATE LIMITED
     (More Jobs)","recruiting  ,  Induction Training  ,  Recruitment  ,  hr executive  ,  hr recruiter",Bengaluru / Bangalore,"Job Description:
1. Responsible for recruiting the man power.2. Arrange  /  Conduct Induction Training.3. To maintain List of Employees.4. To maintain competency requirements.5. To maintain Sk... More Details",https://www.timesjobs.com/job-detail/hod-human-resources-presstonic-engineering-private-limited-bengaluru-bangalore-3-to-8-yrs-jobid-DWiwF8gTaqpzpSvf__PLUS__uAgZw==&source=srp
Human Resource,"HR Empower Consultancy
     (More Jobs)","Reporting skills  ,  Verbal communication  ,  Teamwork  ,  Organization  ,  Dependability  ,  Orienting employees  ,  Maintaining employee files","Ahmedabad,  Bengaluru / Bangalore,  Chennai","Job Description:
Human Resources Assistant Job Description Supports human resources processes by administering tests ,  scheduling appointments ,  conducting orientation ,  maintaining records... More Details",https://www.timesjobs.com/job-detail/human-resource-assistant-hr-empower-consultancy-ahmedabad-bengaluru-bangalore-chennai-0-to-1-yrs-jobid-JeH1T7EhBARzpSvf__PLUS__uAgZw==&source=srp
Human Resource,"Electrobrain modern technologies pvt ltd
     (More Jobs)","Business HR  ,  HR Generalist Activities  ,  Talent Engagement  ,  Recruitment  ,  Talent Acquisition  ,  Sourcing Profiles","Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR","Job Description:
Develop and implement HR strategies and initiatives aligned with the overall business strategyBridge management and employee relations by addressing demands ,  grievances or o... More Details",https://www.timesjobs.com/job-detail/human-resource-manager-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-4-to-9-yrs-jobid-nG4ZuJd4BaVzpSvf__PLUS__uAgZw==&source=srp
Human Resources,"quest junction
     (More Jobs)","talent management  ,  talent development  ,  Employee Engagement  ,  human resources  ,  hr generalist  ,  hr manager  ,  human resource management  ,  Performance Management  ,  Hr Operations","Bengaluru / Bangalore,  Pune","Job Description:
The incumbent will be responsible for spearheading and driving Ascendions people strategy in synergy with the business strategy. Reporting to the Senior Vice President Deliver... More Details",https://www.timesjobs.com/job-detail/director-human-resources-quest-junction-bengaluru-bangalore-pune-15-to-20-yrs-jobid-zEPGmOINwqVzpSvf__PLUS__uAgZw==&source=srp
Human Resources,"ADAL IMMIGRATIONS LLP
     (More Jobs)","Human Resources Development  ,  human resource manager  ,  Human Resource Management  ,  Recruitment  ,  hr executive",Singapore,"Job Description:
To check your Eligibility Call  /  WhatsApp your cv on :Eight One Three Zero Five Five Nine Nine Six NinePut the organisation s talent and human resources strategy into action... More Details",https://www.timesjobs.com/job-detail/human-resources-manager-hiring-for-singapore-adal-immigrations-llp-singapore-3-to-8-yrs-jobid-VcUUZ6C2mUFzpSvf__PLUS__uAgZw==&source=srp
Human Resources,"quest junction
     (More Jobs)","Recruitment Administration  ,  Employee Engagement  ,  Talent Acquisition  ,  Talent Management  ,  Employee Relations  ,  Performance Management  ,  Training And Development","Bengaluru / Bangalore,  Pune","Job Description:
The incumbent will be responsible for spearheading and driving Ascendions people strategy in synergy with the business strategy. Reporting to the CHRO  ,  this position acts a... More Details",https://www.timesjobs.com/job-detail/senior-vice-president-human-resources-quest-junction-bengaluru-bangalore-pune-20-to-25-yrs-jobid-Fxx8up5jzEdzpSvf__PLUS__uAgZw==&source=srp
Human Resource,blufig,"hr  ,  human resource management  ,  recruitment  ,  management systems  ,  communication  ,  interview",Ahmedabad,"Job Description:
Work closely with managers to gain a comprehensive understanding of the companys hiring needs for each position ,  and meet competitive hiring goals and expectationsManage the... More Details",https://www.timesjobs.com/job-detail/human-resource-associate-blufig-ahmedabad-3-to-6-yrs-jobid-WU1oj68jApZzpSvf__PLUS__uAgZw==&source=srp
Human Resource,blufig,"hr  ,  human resource management  ,  recruitment  ,  management systems  ,  communication  ,  interview",Ahmedabad,"Job Description:
Work closely with managers to gain a comprehensive understanding of the companys hiring needs for each position ,  and meet competitive hiring goals and expectationsManage the... More Details",https://www.timesjobs.com/job-detail/human-resource-associate-blufig-ahmedabad-3-to-6-yrs-jobid-200VcZrSmT9zpSvf__PLUS__uAgZw==&source=srp
Human Resource,blufig,"hr  ,  human resource management  ,  recruitment  ,  management systems  ,  communication  ,  interview",Ahmedabad,"Job Description:
Work closely with managers to gain a comprehensive understanding of the companys hiring needs for each position ,  and meet competitive hiring goals and expectationsManage the... More Details",https://www.timesjobs.com/job-detail/human-resource-associate-blufig-ahmedabad-3-to-6-yrs-jobid-csoV1QzlpSJzpSvf__PLUS__uAgZw==&source=srp
Human Resource,THE INDIAN HOTELS COMPANY LIMITED,"human resources management  ,   recruitment  &  selection  ,   employee relations  ,   training  &  development  ,   hr policies   ,  resource manager",Mumbai,"Job Description:
: Human Resource ManagerCompany: The Taj Mahal Palace ,  Mumbai  & amp; Taj Mahal Tower ,  Mumbai ,  MumbaiDepartment: Human ResourcesJob Title: Human Resource ManagerJob Resp... More Details",https://www.timesjobs.com/job-detail/human-resource-manager-the-indian-hotels-company-limited-mumbai-3-to-7-yrs-jobid-WZdVD__SLASH__MrRS5zpSvf__PLUS__uAgZw==&source=srp
Human Resources,Teach For India,"human resources management   ,   recruitment   ,   performance management   ,   employee relations   ,   learning and development   ,  hr  ,  induction  ,  succession planning  ,  workforce  ,  communication  ,  volunteer  ,  leadership development",Bengaluru / Bangalore,"Job Description:
Manager ,  Human Resources - Bengaluru Bengaluru Working at Teach For India Teach For India is on a journey to reach an India free of poverty and filled with love by ending ed... More Details",https://www.timesjobs.com/job-detail/manager-human-resources-bengaluru-teach-for-india-bengaluru-bangalore-2-to-5-yrs-jobid-QH6nEIakbr5zpSvf__PLUS__uAgZw==&source=srp
Human Resources,seventy event media group,"communication skills  ,   people oriented  ,   solution driven  ,   discrete and ethical  ,   consistency and persistence   ,  business partner  ,  employee grievances  ,  manpower planning  ,  hr  ,  human resource management  ,  engagement activities  ,  exit process  ,  recruitment  ,  leave  ,  recruitment process  ,  performance management  ,  attendance",Gurgaon,"Job Description:
Manager - Human ResourcesThe Job:To manage the entire employee lifecycle and partner with the management to maintain the ethos of the culture at 70 EMG.educational Qualificati... More Details",https://www.timesjobs.com/job-detail/manager-human-resources-seventy-event-media-group-gurgaon-4-to-7-yrs-jobid-feRqtvaP4FNzpSvf__PLUS__uAgZw==&source=srp
Human Resources,seventy event media group,"communication skills  ,   people oriented  ,   solution driven  ,   discrete and ethical  ,   consistency and persistence   ,  business partner  ,  employee grievances  ,  manpower planning  ,  hr  ,  human resource management  ,  engagement activities  ,  exit process  ,  recruitment  ,  leave  ,  recruitment process  ,  performance management  ,  attendance",Gurgaon,"Job Description:
Manager - Human ResourcesThe Job:To manage the entire employee lifecycle and partner with the management to maintain the ethos of the culture at 70 EMG.educational Qualificati... More Details",https://www.timesjobs.com/job-detail/manager-human-resources-seventy-event-media-group-gurgaon-4-to-7-yrs-jobid-R16orj__PLUS__a5dZzpSvf__PLUS__uAgZw==&source=srp
Human Resources,seventy event media group,"communication skills  ,   people oriented  ,   solution driven  ,   discrete and ethical  ,   consistency and persistence   ,  business partner  ,  employee grievances  ,  manpower planning  ,  hr  ,  human resource management  ,  engagement activities  ,  exit process  ,  recruitment  ,  leave  ,  recruitment process  ,  performance management  ,  attendance",Gurgaon,"Job Description:
Manager - Human ResourcesThe Job:To manage the entire employee lifecycle and partner with the management to maintain the ethos of the culture at 70 EMG.educational Qualificati... More Details",https://www.timesjobs.com/job-detail/manager-human-resources-seventy-event-media-group-gurgaon-4-to-7-yrs-jobid-ljdP244Re1VzpSvf__PLUS__uAgZw==&source=srp
Human Resources,gap inc.,"hr leadership   ,   change management   ,   talent management   ,   organizational development   ,   employee engagement   ,  hr activities  ,  hr professional  ,  talent acquisition  ,  workforce  ,  matrix management  ,  shared services  ,  employee relations  ,  volunteer  ,  compensation",San Francisco,"Job Description:
About Gap Inc.Our brands bridge the gaps we see in the world.Old Navy democratizes style to ensure everyonehas access to quality fashion at every price point. Athleta unleashe... More Details",https://www.timesjobs.com/job-detail/senior-director-human-resources-gap-inc-san-francisco-7-to-10-yrs-jobid-EBIDMy2a7O5zpSvf__PLUS__uAgZw==&source=srp
